New IonID,UTHSC ID,M/Z_OLD_BXD_STUDY,M/Z_AGING_STUDY_2017,AGING_ID,Primary_HMDB_ID,ChemicalFormula,Confidence,Primary Name,Secondary Names,ChEBI_ID,ChEMBL_ID,CAS_number,PubChem_ID,ChemSpider_ID,UNII_ID,EC_number,KEGG_ID,Description,Molecular_Weight,Nugowiki_ID,Aliases,Type,Tissue
7,59.01373236_MZ,59.01373236,59.01354841,59.0135,HMDB00042,C2H4O2,100,Acetic acid,Glycolaldehyde,15366,,64-19-7,176,171,,,none,"Acetic acid is one of the simplest carboxylic acids. It is an important chemical reagent and industrial chemical that is used in the production of plastic soft drink bottles, photographic film; and polyvinyl acetate for wood glue, as well as many synthetic fibres and fabrics. In households diluted acetic acid is often used as a cleaning agent. In the food industry acetic acid is used as an acidity regulator. The acetyl group, derived from acetic acid, is fundamental to the biochemistry of virtually all forms of life. When bound to coenzyme A it is central to the metabolism of carbohydrates and fats. However, the concentration of free acetic acid in cells is kept at a low level to avoid disrupting the control of the pH of the cell contents. Acetic acid is produced and excreted by certain bacteria, notably the Acetobacter genus and Clostridium acetobutylicum. These bacteria are found universally in foodstuffs, water, and soil, and acetic acid is produced naturally as fruits and some other foods spoil. Acetic acid is also a component of the vaginal lubrication of humans and other primates, where it appears to serve as a mild antibacterial agent.",60.052,29,"Acetate,Ethanoate,Ethanoic acid,Ethylate,Ethylic acid,Glacial acetate,Glacial acetic acid,Kyselina octova,Methanecarboxylate,Methanecarboxylic acid,Vinegar,Vinegar acid  ",Endogenous,"Most Tissues,Liver,Kidney"
14,71.01382126_MZ,71.01382126,71.01366795,71.0137,HMDB01167,C3H4O2,100,Pyruvaldehyde,Malondialdehyde,17158,,78-98-8,880,857,,,C00546,"Pyruvaldehyde is an organic compound used often as a reagent in organic synthesis, as a flavoring agent, and in tanning. It has been demonstrated as an intermediate in the metabolism of acetone and its derivatives in isolated cell preparations, in various culture media, and in vivo in certain animals.",72.0627,1046,"1,2-Propanedione,1-Ketopropionaldehyde,2-Keto Propionaldehyde,2-Ketopropionaldehyde,2-Oxo-Propionaldehyde,2-Oxopropanal,Acetylformaldehyde,Acetylformyl,alpha-Ketopropionaldehyde,Ketopropionaldehyde,Methylglyoxal,Propanedione,Propanolone,Pyroracemic aldehyde,Pyruvaldehyde,Pyruvic aldehyde",Endogenous,"Fibroblasts,Kidney,Lens,Liver"
17,72.99314123_MZ,72.99314123,72.99299225,72.993,HMDB00119,C2H2O3,100,Glyoxylic acid,,16891,,298-12-4,760,740,,,C00048,"Glyoxylic acid or oxoacetic acid is an organic compound that is both an aldehyde and a carboxylic acid. Glyoxylic acid is a liquid with a melting Point of -93 degree centigrade and a boiling Point of 111 degree centigrade. It is an intermediate of the glyoxylate cycle, which enables certain organisms to convert fatty acids into carbohydrates. The conjugate base of gloxylic acid is known as glyoxylate. This compound is an intermediate of the glyoxylate cycle, which enables organisms, such as bacteria, fungi and plants to convert fatty acids into carbohydrates. Glyoxylate is the byproduct of the amidation process in biosynthesis of several amidated peptides. The glyoxylate cycle is a metabolic pathway occurring in plants, and several microorganisms, such as E. coli and yeast. Recent research shows that it is present in vertebrates (including humans) and insects. The glyoxylate cycle allows these organisms to use fats for the synthesis of carbohydrates. [PMID: 16396466].",74.0355,81,"a-Ketoacetate,a-Ketoacetic acid,alpha-Ketoacetate,alpha-Ketoacetic acid,Formylformate,Formylformic acid,Glyoxalate,Glyoxalic acid,Glyoxylate,Glyoxylic acid,Oxalaldehydate,Oxalaldehydic acid,Oxoacetate,Oxoacetic acid,Oxoethanoate,Oxoethanoic acid",Endogenous,"Fibroblasts,Pancreas,Kidney,Liver,Epidermis,Spleen,Stratum Corneum"
18,73.02946956_MZ,73.02946956,73.02925093,73.0293,HMDB00237,C3H6O2,100,Propionic acid,"Lactaldehyde, Hydroxyacetone, D-Lactaldehyde, 3-Hydroxypropanal",30768,,79-09-4,1032,1005,,,C00163,"Propionic acid (PA) is widely used as an antifungal agent in food. It is present naturally at low levels in dairy products and occurs ubiquitously, together with other short-chain fatty acids (SCFA), in the gastro-intestinal tract of humans and other mammals as an end-product of the microbial digestion of carbohydrates. It has significant physiological activity in animals. PA is irritant but produces no acute systemic effects and has no demonstrable genotoxic potential. (PMID 1628870) Propionic aciduria is one of the most frequent organic acidurias, a disease that comprise many various disorders. The outcome of patients born with Propionic aciduria is poor intellectual development patterns, with 60% having an IQ less than 75 and requiring special education. Successful liver and/or renal transplantations, in a few patients, have resulted in better quality of life but have not necessarily prevented neurological and various visceral complications. These results emphasize the need for permanent metabolic follow-up whatever the therapeutic strategy. (PMID 15868474) Decreased early mortality, less severe symptoms at diagnosis, and more favorable short-term neurodevelopmental outcome were recorded in patients identified through expanded newborn screening. (PMID 16763906).",74.0785,172,"Adofeed,Antischim B,Carboxyethane,Ethanecarboxylate,Ethanecarboxylic acid,Ethylformate,Ethylformic acid,Luprosil,Metacetonate,Metacetonic acid,Methylacetate,Methylacetic acid,MonoProp,Propanate,Propanoate,Propanoic acid,Propcorn,Propionate,Propkorn,Prozoin,Pseudoacetate,Pseudoacetic acid,Toxi-Check      ",Food,"Adipose Tissue,Brain,Epidermis,Fibroblasts,Intestine,Muscle,Neuron,Platelet,Stratum Corneum,Testes"
20,74.02469911_MZ,74.02469911,74.02461257,74.0246,HMDB00123,C2H5NO2,100,Glycine,,15428,,56-40-6,750,730,,,C00037,"Glycine is a simple, nonessential amino acid, although experimental animals show reduced growth on low-glycine diets. The average adult ingests 3 to 5 grams of glycine daily. Glycine is involved in the body's production of DNA, phospholipids and collagen, and in release of energy. Glycine levels are effectively measured in plasma in both normal patients and those with inborn errors of glycine metabolism. (http://www.dcnutrition.com/AminoAcids/) Nonketotic hyperglycinaemia (OMIM 606899) is an autosomal recessive condition caused by deficient enzyme activity of the glycine cleavage enzyme system (EC 2.1.1.10). The glycine cleavage enzyme system comprises four proteins: P-, T-, H- and L-proteins (EC 1.4.4.2, EC 2.1.2.10 and EC 1.8.1.4 for P-, T- and L-proteins). Mutations have been described in the GLDC (OMIM 238300), AMT (OMIM 238310), and GCSH (OMIM 238330) genes encoding the P-, T-, and H-proteins respectively. The glycine cleavage system catalyses the oxidative conversion of glycine into carbon dioxide and ammonia, with the remaining one-carbon unit transferred to folate as methylenetetrahydrofolate. It is the main catabolic pathway for glycine and it also contributes to one-carbon metabolism. Patients with a deficiency of this enzyme system have increased glycine in plasma, urine and cerebrospinal fluid (CSF) with an increased CSF: plasma glycine ratio. (PMID 16151895).",75.0666,84,"2-Aminoacetate,2-Aminoacetic acid,Aciport,Amino-Acetate,Amino-Acetic acid,Aminoacetate,Aminoacetic acid,Aminoethanoate,Aminoethanoic acid,Glicoamin,Glycocoll,Glycolixir,Glycosthene,Gyn-Hydralin,Padil          ",Endogenous,"Bladder,Fibroblasts,Liver,Skin,Stratum Corneum"
21,75.00881472_MZ,75.00881472,75.00873731,75.0087,HMDB00115,C2H4O3,100,Glycolic acid,,17497,,79-14-1,757,737,,,C00160,"Glycolic acid (or hydroxyacetic acid) is the smallest alpha-hydroxy acid (AHA). In its pure form, glycolic acid is a colorless crystalline solid. Due to its excellent capability to penetrate skin, glycolic acid finds applications in skin care products, most often as a chemical peel. Glycolic acid is also used for tattoo removal.",76.0514,78,"2-Hydroxyacetate,2-Hydroxyacetic acid,a-Hydroxyacetate,a-Hydroxyacetic acid,alpha-Hydroxyacetate,alpha-Hydroxyacetic acid,Glycocide,Glycolate,Glycolic acid,Glycollate,Glycollic acid,GlyPure,GlyPure 70,Hydroxyacetate,Hydroxyacetic acid,Hydroxyethanoate,Hydroxyethanoic acid,Sodium glycolate   ",Endogenous,"Intestine,Muscle,Nerve Cells,Platelet,Skin,Stratum Corneum,Testes"
31,87.00865528_MZ,87.00865528,87.00895686,87.009,HMDB00243,C3H4O3,100,Pyruvic acid,Malonic semialdehyde,32816,,127-17-3,1060,1031,,,C00022,"Pyruvic acid is an intermediate compound in the metabolism of carbohydrates, proteins, and fats. In thiamine deficiency, its oxidation is retarded and it accumulates in the tissues, especially in nervous structures. (From Stedman, 26th ed.) Biological Source: Intermediate in primary metabolism including fermentation processes. Present in muscle in redox equilibrium with Lactic acid. A common constituent, as a chiral cyclic acetal linked to saccharide residues, of bacterial polysaccharides. Isolated from cane sugar fermentation broth and peppermint. Constituent of Bauhinia purpurea, Cicer arietinum (chickpea), Delonix regia, Pisum sativum (pea) and Trigonella caerulea (sweet trefoil) Use/Importance: Reagent for regeneration of carbonyl compdounds from semicarbazones, phenylhydrazones and oximes. Flavoring ingredient (Dictionary of Organic Compounds).",88.0621,177,"2-Oxopropanoate,2-Oxopropanoic acid,2-Oxopropionate,2-Oxopropionic acid,a-Ketopropionate,a-Ketopropionic acid,Acetylformate,Acetylformic acid,alpha-Ketopropionate,alpha-Ketopropionic acid,BTS,Pyroracemate,Pyroracemic acid,Pyruvate ",Endogenous,"Adipose Tissue,Brain,Fibroblasts,Kidney,Liver,Muscle,Myocardium,Neuron,Pancreas,Skeletal Muscle,Spleen,Testes,Thyroid Gland"
32,87.04518183_MZ,87.04518183,87.04529266,87.0453,HMDB00039,C4H8O2,100,Butyric acid,Isobutyric acid,30772,,107-92-6,264,259,,,C00246,"Butyric acid, a four-carbon fatty acid, is formed in the human colon by bacterial fermentation of carbohydrates (including dietary fiber), and putatively suppresses colorectal cancer (CRC). Butyrate has diverse and apparently paradoxical effects on cellular proliferation, apoptosis and differentiation that may be either pro-neoplastic or anti-neoplastic, depending upon factors such as the level of exposure, availability of other metabolic substrate and the intracellular milieu. In humans, the relationship between luminal butyrate exposure and CRC has been examined only indirectly in case-control studies, by measuring fecal butyrate concentrations, although this may not accurately reflect effective butyrate exposure during carcinogenesis. Perhaps not surprisingly, results of these investigations have been mutually contradictory. The direct effect of butyrate on tumorigenesis has been assessed in a no. of in vivo animal models, which have also yielded conflicting results. In part, this may be explained by methodology: differences in the amount and route of butyrate administration, which are likely to significantly influence delivery of butyrate to the distal colon. (PMID: 16460475) Butyric acid is a carboxylic acid found in rancid butter, parmesan cheese, and vomit, and has an unpleasant odor and acrid taste, with a sweetish aftertaste (similar to ether). Butyric acid is a fatty acid occurring in the form of esters in animal fats and plant oils. Interestingly, low-molecular-weight esters of butyric acid, such as methyl butyrate, have mostly pleasant aromas or tastes. As a consequence, they find use as food and perfume additives. Butyrate is produced as end-product of a fermentation process solely performed by obligate anaerobic bacteria.",88.1051,28,"1-Butanoate,1-Butanoic acid,1-Butyrate,1-Butyric acid,1-Propanecarboxylate,1-Propanecarboxylic acid,Butanate,Butanic acid,Butanoate,Butanoic acid,Buttersaeure,Butyrate,Butyric acid,Ethylacetate,Ethylacetic acid,Honey robber,Kyselina maselna,N-Butanoate,N-Butanoic acid,N-Butyrate,N-Butyric acid,Propanecarboxylate,Propanecarboxylic acid,Propylformate,Propylformic acid     ",Endogenous,"Fibroblasts,Intestine,Kidney,Large Intestine,Muscle,Neuron,Prostate"
33,88.04051410_MZ,88.0405141,88.0403646,88.0404,HMDB00161,C3H7NO2,100,L-Alanine,"Beta-Alanine, Sarcosine",16977,,56-41-7,5950,5735,,,C00041,"Alanine is a nonessential amino acid made in the body from the conversion of the carbohydrate pyruvate or the breakdown of DNA and the dipeptides carnosine and anserine. It is highly concentrated in muscle and is one of the most important amino acids released by muscle, functioning as a major energy source. Plasma alanine is often decreased when the BCAA (Branched Chain Amino Acids) are deficient. This finding may relate to muscle metabolism. Alanine is highly concentrated in meat products and other high-protein foods like wheat germ and cottage cheese. Alanine is an important participant as well as regulator in glucose metabolism. Alanine levels parallel blood sugar levels in both diabetes and hypoglycemia, and alanine reduces both severe hypoglycemia and the ketosis of diabetes. It is an important amino acid for lymphocyte reproduction and immunity. Alanine therapy has helped dissolve kidney stones in experimental animals. Normal alanine metabolism, like that of other amino acids, is highly dependent upon enzymes that contain vitamin B6. Alanine, like GABA, taurine and glycine, is an inhibitory neurotransmitter in the brain. http://www.dcnutrition.com/AminoAcids/).",89.0932,112,"(2S)-2-Aminopropanoate,(2S)-2-Aminopropanoic acid,(S)-(+)-Alanine,(S)-2-amino-Propanoate,(S)-2-amino-Propanoic acid,(S)-2-Aminopropanoate,(S)-2-Aminopropanoic acid,(S)-Alanine,2-Aminopropanoate,2-Aminopropanoic acid,2-Aminopropionate,2-Aminopropionic acid,2-Ammoniopropanoate,2-Ammoniopropanoic acid,a-Alanine,a-Aminopropionate,a-Aminopropionic acid,Ala,Alanine,alpha-Alanine,alpha-Aminopropanoate,alpha-Aminopropanoic acid,alpha-Aminopropionate,alpha-Aminopropionic acid,L-(+)-Alanine,L-2-Aminopropanoate,L-2-Aminopropanoic acid,L-2-Aminopropionate,L-2-Aminopropionic acid,L-a-Alanine,L-a-Aminopropionate,L-a-Aminopropionic acid,L-alpha-Alanine,L-alpha-Aminopropionate,L-alpha-Aminopropionic acid",Endogenous,"All Tissues,Prostate"
35,89.02459351_MZ,89.02459351,89.02437369,89.0244,HMDB00190,C3H6O3,100,L-Lactic acid,"Hydroxypropionic acid, Glyceraldehyde, Dihydroxyacetone",422,,79-33-4,107689,96860,,,C00186,"Lactic acid plays a role in several biochemical processes and is produced in the muscles during intense activity. Lactate measurement in the critically ill has been traditionally used to stratify patients with poor outcome. However, plasma lactate levels are the result of a finely tuned interplay of factors that affect the balance between its production and its clearance. When the oxygen supply does not match its consumption, organisms such as man who are forced to produce ATP for their integrity adapt in many different ways up to the point when energy failure occurs. Lactate, being part of the adaptive response, may then be used to assess the severity of the supply/demand imbalance. In such a scenario, the time to intervention becomes relevant: early and effective treatment may allow the cell to revert to a normal state, as long as the oxygen machinery (i.e. mitochondria) is intact. Conversely, once the mitochondria are deranged, energy failure occurs even in the presence of normoxia. The lactate increase in critically ill patients may therefore be viewed as an early marker of a potentially reversible state. (PMID 16356243) A number of studies have demonstrated that malignant transformation is associated with an increase in glycolytic flux and in anaerobic and aerobic cellular lactate excretion. Using quantitative bioluminescence imaging in various primary carcinomas in patients (uterine cervix, head and neck, colorectal region) at first diagnosis of the disease, lactate concentrations in tumors in vivo could be relatively low or extremely high (up to 40 micromol/g) in different individual tumors or within the same lesion. In all tumor entities investigated, high molar concentrations of lactate were correlated with a high incidence of distant metastasis already in an early stage of the disease. Low lactate tumors (< median of approximately 8 micromol/g) were associated with both a longer overall and disease free survival compared to high lactate lesions (lactate > approximately 8 micromol/g). Lactate dehydrogenase was found to be upregulated in most of these tumors compared to surrounding normal tissue. (PMID 15279558).",90.0779,133,"(+)-Lactate,(+)-Lactic acid,(alpha)-Lactate,(alpha)-Lactic acid,(S)-(+)-2-Hydroxypropanoate,(S)-(+)-2-Hydroxypropanoic acid,(S)-2-hydroxy-Propanoate,(S)-2-hydroxy-Propanoic acid,(S)-2-Hydroxypropanoate,(S)-2-Hydroxypropanoic acid,(S)-2-Hydroxypropionate,(S)-2-Hydroxypropionic acid,(S)-Lactate,(S)-Lactic acid,1-Hydroxyethane 1-carboxylate,1-Hydroxyethane 1-carboxylic acid,1-Hydroxyethanecarboxylate,1-Hydroxyethanecarboxylic acid,2-Hydroxypropanoate,2-Hydroxypropanoic acid,2-Hydroxypropionate,a-Hydroxypropanoate,a-Hydroxypropanoic acid,a-Hydroxypropionate,a-Hydroxypropionic acid,alpha-Hydroxypropanoate,alpha-Hydroxypropanoic acid,alpha-Hydroxypropionate,alpha-Hydroxypropionic acid,L-(+)- Lactic acid,L-2-Hydroxypropanoate,L-2-Hydroxypropanoic acid,Lactate,Lactic acid,Milk acid",Endogenous,All Tissues
