ionIdx,ionMz,Primary Name,001 / NH24 1037 HF F,002 / NH24 1037 HF F,003 / NH24 1424 CD F,004 / NH24 1424 CD F,005 / NH24 1560 HF F,006 / NH24 1560 HF F,007 / H1 1560 HF F,008 / H1 1560 HF F,009 / NH24 1707 HF F,010 / NH24 1707 HF F,011 / H2 1424 CD F,012 / H2 1424 CD F,013 / H2 1715 HF F,014 / H2 1715 HF F,015 / NH24 1189 CD F,016 / NH24 1189 CD F,017 / Hot 1715 HF F,018 / Hot 1715 HF F,019 / H2 1189 CD F,020 / H2 1189 CD F,021 / H1 1707 HF F,022 / H1 1707 HF F,023 / Hot 1189 CD F,024 / Hot 1189 CD F,025 / H2 1710 CD F,026 / H2 1710 CD F,027 / H2 1818 CD F,028 / H2 1818 CD F,029 / H2 1707 HF F,030 / H2 1707 HF F,031 / H1 1710 CD F,032 / H1 1710 CD F,033 / H2 1721 HF F,034 / H2 1721 HF F,035 / Hot 1725 CD F,036 / Hot 1725 CD F,037 / H24 1710 CD F,038 / H24 1710 CD F,039 / NH24 1425 CD F,040 / NH24 1425 CD F,041 / H1 1721 HF F,042 / H1 1721 HF F,043 / H2 1425 CD F,044 / H2 1425 CD F,045 / H24 1715 HF F,046 / H24 1715 HF F,047 / H24 1189 CD F,048 / H24 1189 CD F,049 / Hot 1037 HF F,050 / Hot 1037 HF F,051 / NH24 1710 CD F,052 / NH24 1710 CD F,053 / H24 1424 CD F,054 / H24 1424 CD F,055 / H1 1424 CD F,056 / H1 1424 CD F,057 / H1 1037 HF F,058 / H1 1037 HF F,059 / Hot 1424 CD F,060 / Hot 1424 CD F,061 / NH24 1715 HF F,062 / NH24 1715 HF F,063 / H2 1560 HF F,064 / H2 1560 HF F,065 / H24 1707 HF F,066 / H24 1707 HF F,067 / H24 1818 CD F,068 / H24 1818 CD F,069 / NH24 1365 HF M,070 / NH24 1365 HF M,071 / H24 1725 CD F,072 / H24 1725 CD F,073 / H1 1725 CD F,074 / H1 1725 CD F,075 / Hot 1721 HF F,076 / Hot 1721 HF F,077 / H24 1560 HF F,078 / H24 1560 HF F,079 / Hot 1707 HF F,080 / Hot 1707 HF F,081 / Hot 1365 HF M,082 / Hot 1365 HF M,083 / H1 1425 CD F,084 / H1 1425 CD F,085 / Hot 1710 CD F,086 / Hot 1710 CD F,087 / H1 1365 HF M,088 / H1 1365 HF M,089 / H24 1425 CD F,090 / H24 1425 CD F,091 / H24 1037 HF F,092 / H24 1037 HF F,093 / NH24 1721 HF F,094 / NH24 1721 HF F,095 / NH24 1818 CD F,096 / NH24 1818 CD F,097 / H2 1365 HF M,098 / H2 1365 HF M,099 / H24 1721 HF F,100 / H24 1721 HF F,101 / H2 1725 CD F,102 / H2 1725 CD F,103 / H1 1189 CD F,104 / H1 1189 CD F,105 / Hot 1818 CD F,106 / Hot 1818 CD F,107 / H24 1365 HF M,108 / H24 1365 HF M,109 / H2 1037 HF F,110 / H2 1037 HF F,111 / NH24 1725 CD F,112 / NH24 1725 CD F,113 / H1 1818 CD F,114 / H1 1818 CD F,115 / H1 1715 HF F,116 / H1 1715 HF F,117 / H1 836 HF F,118 / H1 836 HF F,119 / NH24 1474 HF F,120 / NH24 1474 HF F,121 / H24 1227 CD F,122 / H24 1227 CD F,123 / H1 2495 CD F,124 / H1 2495 CD F,125 / H2 2494 CD F,126 / H2 2494 CD F,127 / H1 1414 CD F,128 / H1 1414 CD F,129 / NH24 1772 HF F,130 / NH24 1772 HF F,131 / H24 1772 HF F,132 / H24 1772 HF F,133 / H2 1772 HF F,134 / H2 1772 HF F,135 / H24 1474 HF F,136 / H24 1474 HF F,137 / H2 836 HF F,138 / H2 836 HF F,139 / H1 2494 CD F,140 / H1 2494 CD F,141 / H2 1414 CD F,142 / H2 1414 CD F,143 / H24 833 HF F,144 / H24 833 HF F,145 / H24 836 HF F,146 / H24 836 HF F,147 / H24 1872  CD F,148 / H24 1872  CD F,149 / H2 1417 CD F,150 / H2 1417 CD F,151 / H2 1227 CD F,152 / H2 1227 CD F,153 / NH24 1414 CD F,154 / NH24 1414 CD F,155 / H24 2495 CD F,156 / H24 2495 CD F,157 / NH24 836 HF F,158 / NH24 836 HF F,159 / NH24 1872 CD F,160 / NH24 1872 CD F,161 / H2 1474 HF F,162 / H2 1474 HF F,163 / H24 1414 CD F,164 / H24 1414 CD F,165 / NH24 2494 CD F,166 / NH24 2494 CD F,167 / H2 2495  CD F,168 / H2 2495  CD F,169 / H1 2259 HF F,170 / H1 2259 HF F,171 / NH24 2495 CD F,172 / NH24 2495 CD F,173 / H24 2259 HF F,174 / H24 2259 HF F,175 / H1 1417 CD F,176 / H1 1417 CD F,177 / H24 2494 CD F,178 / H24 2494 CD F,179 / H2 1872  CD F,180 / H2 1872  CD F,181 / H24 1416 HF F,182 / H24 1416 HF F,183 / H1 1772 HF F,184 / H1 1772 HF F,185 / NH24 833 HF F,186 / NH24 833 HF F,187 / H2 1416 HF F,188 / H2 1416 HF F,189 / H1 833 HF F,190 / H1 833 HF F,191 / H1 1474 HF F,192 / H1 1474 HF F,193 / H24 1417 CD F,194 / H24 1417 CD F,195 / H1 1872 CD F,196 / H1 1872 CD F,197 / H2 833 HF F,198 / H2 833 HF F,199 / NH24 1227 CD F,200 / NH24 1227 CD F,201 / NH24 1417 CD F,202 / NH24 1417 CD F,203 / H2 2259 HF F,204 / H2 2259 HF F,205 / NH24 1416 HF F,206 / NH24 1416 HF F,207 / H1 1227 CD F,208 / H1 1227 CD F,209 / H1 1416 HF F,210 / H1 1416 HF F
1,59.0135,Acetic acid,43201,45340,32476,30654,46811,50342,26042,24550,33137,37356,53146,55795,67110,67754,46627,48222,23279,28750,60369,53192,42162,40522,53769,48941,63657,67134,64387,65201,46379,46819,50405,49279,49388,49098,36709,36427,70766,72334,60494,62672,37225,34200,62972,62143,66329,66038,50240,51230,20616,22973,67133,61588,64094,71611,43014,42471,45726,51263,17666,17669,67335,64567,36688,36306,63449,59025,65255,63255,67825,70971,43472,48387,36499,33383,40211,37523,38095,36716,57088,58550,22363,23417,37103,37567,24050,25823,39803,40293,54366,59732,73274,77785,71614,78465,43745,48139,69114,70241,43286,46346,41610,38734,36271,36705,42260,41924,64255,69410,71475,68040,39919,41461,33783,33307,37021,36356,29026,30777,37020,42496,33657,33098,46633,49144,68447,61680,38467,37455,32092,32660,45779,43569,36003,40024,57982,53194,36624,36418,44343,45239,47088,41116,56040,58660,39210,39053,59975,61489,62207,60350,48921,48541,48971,50676,76191,69464,60083,59727,45624,50119,61223,58745,64089,60631,40754,41871,65844,63415,40206,41638,38605,37877,70960,71420,52773,50164,28388,28602,45294,42543,65304,62157,42401,42725,65284,71433,60221,57799,45378,43060,48736,49798,66186,66802,38620,36356,73370,73377,34777,33553,52675,58291,77153,73874,61333,59521,31740,30406,35523,33785
2,71.0137,Pyruvaldehyde,51198,50521,42028,38160,61222,62209,28583,25334,41255,43930,58658,58878,60645,60479,78202,82520,29037,28393,68474,61014,35667,36944,70585,71028,63029,65034,63016,65681,42940,41349,39594,42053,54473,54143,38537,40462,66621,65119,66688,74142,33314,30842,54994,51379,55941,56906,62282,64827,32330,31743,82503,76206,65176,63002,44904,43684,43479,46538,21742,26049,60048,62885,44655,45540,61155,57117,65851,61937,68393,74556,43352,44360,28397,29175,40280,39182,45952,44655,69597,72819,26347,25752,30917,30784,27158,28514,32716,33642,49421,47282,81874,78546,82832,84899,50508,54036,61311,56780,46835,53072,37556,34795,35029,31923,48729,50135,61836,60230,67553,72038,35180,37708,29580,28207,30130,30976,35484,37776,46169,46604,36042,33821,38187,37696,63130,56394,30020,30574,54514,53024,52123,50813,45308,46518,48616,43492,54939,50476,37752,40252,31351,30197,73020,78758,55019,57786,52738,53949,54927,55686,56486,52004,49055,55218,60205,57241,87927,86753,62942,58648,50472,50011,51010,51612,50666,51950,58484,53660,40635,40508,38298,35318,88770,83422,42375,42099,26638,25271,38799,34698,49142,49094,33742,34564,78720,88371,43661,42667,45193,44258,39211,37760,59091,60060,31215,28928,88498,97037,54038,55140,73747,75942,88881,93761,64519,62739,29365,26957,27072,28405
3,72.993,Glyoxylic acid,4230,4701,3963,3505,6082,5765,2769,2880,2836,3018,4483,5591,4228,4917,7117,7573,1558,1517,7617,6311,2977,3589,6249,7185,4808,4886,5278,4708,4195,4205,3663,3454,4697,5269,2605,3381,4129,4227,6256,6036,3021,2687,4945,4197,4429,4493,4633,6147,2757,2070,5486,6732,5288,4584,4996,4503,3821,4680,1872,2416,3931,4420,4841,5173,4492,4770,4855,4868,4867,5919,3973,3758,2902,2315,2992,2751,5317,4585,4609,4846,1829,2070,2878,2193,3052,1683,2249,3191,3870,4280,6815,5789,6698,8073,3404,3913,4692,4590,4464,6402,4298,4583,3906,3733,3417,3829,5276,4792,4691,6035,3035,3605,3789,3077,2115,2862,2756,2621,3675,4138,4024,2809,3518,3947,4941,5123,4309,4820,4040,3971,4834,4752,4296,3669,4210,3929,4043,3903,4139,3944,3151,3167,4542,4752,4547,4466,3702,4245,3802,3508,5250,4375,3999,4954,6182,4278,7144,5926,6364,6483,2986,3044,4058,3970,5104,4706,5179,4850,4141,3859,2329,3125,7339,8514,3005,4302,2410,1992,3662,2649,4071,3761,3660,4179,4270,5169,2962,4077,2795,2509,2703,2909,3566,3882,4533,4607,5403,4644,5051,4732,6048,5687,7634,9135,5985,5870,4157,4196,2431,2149
4,73.0293,D-Lactaldehyde,10214,13746,22329,20782,42379,45880,23899,25149,11252,13331,42072,48330,51348,51237,23741,22421,24115,33637,82145,79165,47139,42449,68000,62757,52739,54138,53692,53930,38802,42441,46286,41640,45225,44413,40602,33690,53542,55551,31646,35947,38319,32553,53430,55033,50939,52906,77017,70266,28842,30246,37793,37618,62017,65724,51475,50991,41110,40268,26166,27357,54387,54795,55090,59691,49107,52063,63398,53395,36751,39172,50499,53911,38794,39829,38994,32876,56941,55197,46711,47982,24700,26585,36487,34576,28657,31549,37016,34718,49750,52274,58047,62541,64895,84513,63391,60465,74218,73355,60704,63722,53907,53969,51850,48195,48093,46493,50666,51079,49805,56861,31770,29187,34708,36813,32892,31319,33220,31347,21109,27171,48383,45539,39533,39977,55998,53701,40463,35426,23852,30278,48530,48973,44636,45899,62022,58865,48491,50250,51751,50354,37795,38688,65836,73657,51274,53804,59586,60780,61127,61376,71416,70155,37071,45715,57510,62034,77595,80640,42380,42426,71215,63093,59194,58872,36230,39147,56346,59178,51647,53068,46874,45770,94241,88674,66423,65353,45627,43768,56091,52264,76499,72056,45332,40151,72272,84044,82286,77781,65981,61112,57359,56219,67012,69032,54087,50578,89002,99721,43190,38111,46147,45413,85483,81756,48628,48038,49888,46595,44258,40632
5,74.0246,Glycine,21414,20392,24309,22125,30015,30411,16555,16514,22289,20809,45766,46083,41167,41457,35999,38786,10333,10669,42792,43434,21979,20485,40360,40200,48466,51895,38656,36202,24054,23690,27844,28592,30444,28691,19974,19106,50499,49431,37535,39237,21070,19084,41432,42685,24551,25046,45976,38919,10722,10730,45511,44413,48694,51649,31237,31216,21334,25059,10696,11658,27855,25446,22758,22857,33365,33128,38150,31070,36096,38138,22704,21199,21747,18010,23621,24176,21478,23412,41550,40966,10120,11341,19030,20596,18058,18053,23040,26503,39386,39580,39278,39690,41135,42016,24274,26795,43593,46126,24826,27176,27137,27596,19242,20933,23166,21472,47083,47759,32106,35326,19899,19756,14742,16120,23539,20121,22078,25537,23512,25306,32757,29798,19558,20504,32901,29415,25009,25648,18621,18768,19765,18422,19884,20498,36965,35715,29793,27660,20406,19081,30349,29948,34699,37781,28622,33711,43293,42522,38531,36503,54064,53827,31163,32376,28063,30274,48360,47853,35457,34497,35169,35725,45667,47844,18810,15992,26064,28124,16134,15061,14193,15127,24821,24788,25549,25604,6049,7162,34023,32290,39301,39325,16209,14818,36151,37065,29937,33291,24452,24189,26039,26256,40891,37047,26542,27470,40552,42046,28031,25652,31226,28252,29353,29079,38071,38044,23578,25080,23478,22193
6,75.0087,Glycolic acid,3593,3652,5207,4777,2615,3274,1864,2338,2576,2243,5696,6020,5274,4769,4877,4534,3277,2852,4593,5338,2100,1802,3996,4487,5612,5870,4066,4606,3162,3240,2672,3413,5427,5378,2563,2845,5229,6404,5218,6885,2570,1938,4808,4477,7520,7910,4554,4110,3015,2346,6214,3475,8492,7406,5082,4028,2975,3362,2449,1988,4586,5037,7921,8208,4980,4294,3349,4046,4694,5093,7219,5572,2795,2605,2493,1368,8896,8901,3144,3083,2682,2416,2705,2408,2301,2844,2799,2930,5155,4807,6096,4992,3860,4624,3681,3131,5456,7915,5148,5585,5461,5173,3993,3473,3907,3351,5440,7208,4154,5684,3313,3377,3985,3547,2537,2366,2518,2632,3408,3012,3012,2845,3194,3044,4481,4546,3651,4356,2726,3325,4771,3982,3288,4371,4164,4172,3443,2610,2645,3192,4326,3861,7083,6443,4088,4285,4414,3826,3916,4141,5718,5003,5128,5719,5014,4407,5468,5404,4848,3930,3255,3889,5496,6280,4160,4858,3905,4028,2320,1991,2646,2781,4578,4549,4196,3959,4182,3672,3045,3412,5891,4182,4388,3477,6361,8076,5861,5070,4882,4139,3243,3362,5304,4788,4681,3146,8179,6995,3416,4046,5602,4378,4756,3951,6893,5393,3876,3613,2249,3465
7,87.009,Malonic semialdehyde,28510,25358,9874,9974,35565,36788,9523,8736,17856,19095,33828,36661,41555,38880,31436,32104,3770,5530,34895,33795,15265,14132,23008,25137,26736,26519,38299,39428,25489,23458,15445,13547,21981,22626,14369,12317,30721,32191,39363,41313,13064,11394,34460,33943,35699,34212,32458,34840,5509,3813,31931,28230,27420,30971,14405,15312,20204,19792,5250,5147,32175,32461,12020,14669,30742,34306,34711,36358,58522,52234,12748,13627,10079,10297,19252,17680,13427,12901,28851,31430,8377,9557,11222,12393,5355,4427,16595,17958,29257,28354,53201,47384,44270,48671,18453,22527,46863,41822,15786,17689,14425,14628,10199,11645,15609,16725,47160,47521,47582,45490,18648,21044,11073,10650,13131,15000,8124,10027,25935,30585,27853,27666,19361,19921,46320,37815,15726,17855,21732,19881,28432,26499,24575,26170,35626,33650,18079,15924,16666,15586,27067,25353,14733,17249,11483,13170,40805,43040,36642,37239,44226,44527,33872,33605,43273,45427,19457,19411,32306,29152,35828,34758,44082,43229,19889,18275,38143,34955,18234,19259,17062,17257,54908,50552,17438,17092,10858,10048,29870,29124,38349,37317,14908,18972,21165,24729,30179,28885,11822,11707,18062,20183,40186,36738,12621,12991,17683,18756,26974,23300,29065,29443,54864,53301,24615,23881,13461,13666,14746,14452
8,87.0453,Butyric acid,1000,821,1014,1389,1571,1151,906,1358,919,853,1893,1961,1815,1464,1896,2132,1839,1635,2308,3336,1672,2349,1915,2332,2802,2174,2866,2067,1804,2266,2236,2141,2159,2056,1299,1255,2170,1857,2536,2507,1744,2209,2245,2213,2369,2344,2299,2815,1402,1266,2704,2550,2695,2984,3249,2567,1940,1522,1744,1108,2380,1915,2023,2349,2148,1878,2514,2980,2153,1702,2510,1896,2129,2104,2264,1719,1779,2055,2510,2555,1000,1463,2072,1922,1436,1808,1592,1654,2662,2077,1424,2364,2815,4347,3905,3231,3265,4323,2909,3267,2734,2768,2912,2872,2876,2046,2075,3055,2086,2168,1765,2006,2010,2563,1798,1496,1808,1722,1850,1832,2367,3731,2717,2118,2998,2976,2004,2018,2264,2204,1539,2660,1901,2424,2862,3221,1884,2007,3093,3350,3537,2922,1856,2296,2270,1928,6549,7464,3287,2720,4858,4349,2522,2731,2773,3372,3053,3076,6278,7028,3174,3376,2625,2610,3089,3398,2805,2963,2671,3007,2852,3572,3932,3901,4285,3327,2639,3271,6668,5458,2495,3182,3731,3299,2844,3013,4318,3003,3023,3251,3015,3763,2401,3436,4590,4590,2622,3607,4573,4053,3564,3891,3474,3430,5051,3642,2862,3239,2365,2548
9,88.0404,Sarcosine,16610,16259,19438,20659,16599,17248,11356,10168,19714,17425,30829,30814,39002,37956,33640,39341,16611,17933,41424,44337,20949,17728,32933,38094,29943,34740,25342,25867,23268,20781,21112,21764,24805,24054,16297,16764,31581,32267,30170,32305,18181,15690,32891,31661,38348,41064,42209,42441,9717,12336,28604,27837,35545,32652,27887,26125,15672,17215,7952,9144,26895,26854,18723,19810,28543,26538,25302,25044,24530,23687,21204,21559,16459,13763,11660,12344,15902,18618,29766,27877,13223,13220,18932,18376,15698,16212,18001,18908,27170,32334,23422,24154,30652,33013,18727,19305,26723,27673,20135,21861,20357,19576,21359,22963,17359,16845,27966,28116,22316,20476,18724,19142,13812,15862,20038,20775,21959,21784,18868,21843,25536,26497,16319,16926,18993,17743,25209,25768,12925,14515,19690,19943,15854,18288,27509,28664,30100,30085,17706,16260,21647,23363,33666,34672,34898,40007,21454,22033,21456,22074,35076,38078,32681,33786,22056,19495,44558,42025,22458,22376,28711,29078,30831,35340,14942,15154,19567,19181,16028,14222,14720,13058,24121,21954,18057,19687,5521,5948,20915,18449,34386,33222,19964,18219,36969,44595,32751,28910,28239,26986,24098,22678,24212,21676,16274,15175,37926,37720,22792,22212,21227,21613,21972,22970,32676,32327,22736,23705,23395,22436
10,89.0244,Dihydroxyacetone,162721,159042,175898,165243,154979,154679,64760,63839,151687,147950,277297,280435,306940,320298,228512,226105,146495,160577,252611,243440,106915,101149,160298,155335,381444,380219,218442,220671,175272,170063,151020,153156,154691,147106,130258,127439,396108,388830,443281,463435,82132,78158,403586,378741,408596,392499,233180,219937,73202,75914,415463,378816,313589,321138,185068,176662,102982,113449,78432,79601,332061,319741,160418,160171,268233,259161,231087,214890,361005,374168,263630,258783,104933,99470,49673,51397,179252,174454,167241,168790,123991,127866,142817,141119,130503,132800,133963,132339,396349,399298,250397,254379,245930,259754,129924,167883,296014,296769,137351,169685,208224,200085,99583,96703,77378,80758,298294,280204,201797,194167,172411,179243,85321,89384,129625,136063,75144,77611,208132,212604,140774,133167,136360,135628,184474,162675,149147,152008,116033,130337,137654,123860,82384,92813,260974,232269,134040,128703,92942,92682,183962,176126,210370,218659,124410,140199,267532,258174,312762,300616,214350,210542,310395,326522,260074,252673,159722,158288,281729,280890,254555,243566,269741,270699,145958,137565,217642,209792,93548,98141,129699,124860,199026,188172,179331,177503,71666,72624,213659,204598,336522,332396,92875,90753,245345,279015,270311,264978,135482,128640,140553,146279,346996,360696,142733,142504,267474,289015,144505,149209,348524,343177,209886,211754,297434,291714,96710,96604,106088,109352
