ionIdx,ionMz,,ionActive,ionQualTIC,ionAverageInt,mz difference,formula,ion,score,name,synonym,hmdb_id,kegg_id,other_ids
1,59.01354841,59.0135,TRUE,0.653851003,48568.3605,0.000301695,C2H4O2,-H(-),100,Acetic acid,Acetate; Ethanoate; Ethanoic acid; Ethylate; Ethylic acid; Glacial acetate; Glacial acetic acid; Kyselina octova; Methanecarboxylate; Methanecarboxylic acid; Vinegar; Vinegar acid,HMDB00042,C00033,
2,71.01366795,71.0137,TRUE,0.732306987,50239.22233,0.000182152,C3H4O2,-H(-),100,Pyruvaldehyde,"1,2-Propanedione; 1-Ketopropionaldehyde; 2-Keto Propionaldehyde; 2-Ketopropionaldehyde; 2-Oxo-Propionaldehyde; 2-Oxopropanal; Acetylformaldehyde; Acetylformyl; Ketopropionaldehyde; Methylglyoxal; Propanedione; Propanolone; Pyroracemic aldehyde; Pyruvaldehyde; Pyruvic aldehyde; alpha-Ketopropionaldehyde",HMDB01167,C00546,
3,72.99299225,72.993,TRUE,0.545368671,4256.399126,0.000122748,C2H2O3,-H(-),100,Glyoxylic acid,Formylformate; Formylformic acid; Glyoxalate; Glyoxalic acid; Glyoxylate; Glyoxylic acid; Oxalaldehydate; Oxalaldehydic acid; Oxoacetate; Oxoacetic acid; Oxoethanoate; Oxoethanoic acid; a-Ketoacetate; a-Ketoacetic acid; alpha-Ketoacetate; alpha-Ketoacetic acid,HMDB00119,C00048,
4,73.02925093,73.0293,TRUE,0.00588322,49280.31364,0.000248365,C3H6O2,-H(-),100,Propionic acid,Adofeed; Antischim B; Carboxyethane; Ethanecarboxylate; Ethanecarboxylic acid; Ethylformate; Ethylformic acid; Luprosil; Metacetonate; Metacetonic acid; Methylacetate; Methylacetic acid; MonoProp; Propanate; Propanoate; Propanoic acid; Propcorn; Propionate; Propkorn; Prozoin; Pseudoacetate; Pseudoacetic acid; Toxi-Check,HMDB00237,C00163,
4,73.02925093,73.0293,TRUE,0.00588322,49280.31364,0.000248365,C3H6O2,-H(-),100,D-Lactaldehyde,(2R)-2-hydroxypropanal; (R)-Lactaldehyde; D-2-Hydroxypropionaldehyde; D-Lactaldehyde,HMDB06458,C00937,
5,74.02461257,74.0246,TRUE,0.609992117,28890.88621,0.000135329,C2H5NO2,-H(-),100,Glycine,2-Aminoacetate; 2-Aminoacetic acid; Aciport; Amino-Acetate; Amino-Acetic acid; Aminoacetate; Aminoacetic acid; Aminoethanoate; Aminoethanoic acid; Glicoamin; Glycocoll; Glycolixir; Glycosthene; Gyn-Hydralin; Padil,HMDB00123,C00037,
6,75.00873731,75.0087,TRUE,0.589172244,4221.707977,2.68897E-05,C2H4O3,-H(-),100,Glycolic acid,2-Hydroxyacetate; 2-Hydroxyacetic acid; GlyPure; GlyPure 70; Glycocide; Glycolate; Glycolic acid; Glycollate; Glycollic acid; Hydroxyacetate; Hydroxyacetic acid; Hydroxyethanoate; Hydroxyethanoic acid; Sodium glycolate; a-Hydroxyacetate; a-Hydroxyacetic acid; alpha-Hydroxyacetate; alpha-Hydroxyacetic acid,HMDB00115,C00160,
7,87.00895686,87.009,TRUE,0.761697144,24775.51157,-0.000192661,C3H4O3,-H(-),100,Pyruvic acid,2-Oxopropanoate; 2-Oxopropanoic acid; 2-Oxopropionate; 2-Oxopropionic acid; Acetylformate; Acetylformic acid; BTS; Pyroracemate; Pyroracemic acid; Pyruvate; a-Ketopropionate; a-Ketopropionic acid; alpha-Ketopropionate; alpha-Ketopropionic acid,HMDB00243,C00022,
7,87.00895686,87.009,TRUE,0.761697144,24775.51157,-0.000192661,C3H4O3,-H(-),100,Malonic semialdehyde,3-Oxopropanoate; 3-Oxopropanoic acid; 3-Oxopropionic acid; Formyl acetate; Formyl acetic acid; Formylacetic acid; Malonaldehydic acid; Malonate semialdehyde,HMDB11111,C00222,
8,87.04529266,87.0453,TRUE,0.273272693,2610.652674,-0.000144164,C4H8O2,-H(-),100,Butyric acid,1-Butanoate; 1-Butanoic acid; 1-Butyrate; 1-Butyric acid; 1-Propanecarboxylate; 1-Propanecarboxylic acid; Butanate; Butanic acid; Butanoate; Butanoic acid; Buttersaeure; Butyrate; Butyric acid; Ethylacetate; Ethylacetic acid; Honey robber; Kyselina maselna; N-Butanoate; N-Butanoic acid; N-Butyrate; N-Butyric acid; Propanecarboxylate; Propanecarboxylic acid; Propylformate; Propylformic acid,HMDB00039,C00246,
9,88.0403646,88.0404,TRUE,0.651706219,23435.86702,3.25021E-05,C3H7NO2,-H(-),100,Beta-Alanine,2-Carboxyethylamine; 3-Amino-Propanoate; 3-Amino-Propanoic acid; 3-Aminopropanoate; 3-Aminopropanoic acid; 3-Aminopropionate; 3-Aminopropionic acid; Abufene; B-Alanine; Omega-Aminopropionate; Omega-Aminopropionic acid; b-Aminopropanoate; b-Aminopropanoic acid; b-Aminopropionate; b-Aminopropionic acid; beta Alanine; beta-Alanine; beta-Aminopropanoate; beta-Aminopropanoic acid; beta-Aminopropionate; beta-Aminopropionic acid,HMDB00056,C00099,
